latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,date
0,0.28110015,0,0,2.6596434,2.0579402,1.1625308,2.9168715,0,0,0,0,0,0.3981721,0.5701143,2016-09-13
0,0.28956282,0,0,2.6590593,2.059593,1.1577157,2.9079275,0,0,0,0,0,0.40009817,0.581329,2016-09-19
0,0.29604644,0,0,2.6514204,2.059816,1.1554595,2.897794,0,0,0,0,0,0.40002003,0.58960336,2016-09-20
0,0.30159837,0,0,2.6430688,2.0589585,1.1505213,2.88832,0,0,0,0,0,0.39800748,0.59537095,2016-09-21
0,0.3055705,0,0,2.6326385,2.0614407,1.1531819,2.8813097,0,0,0,0,0,0.397568,0.6011417,2016-09-22
0,0.308434,0,0,2.6226785,2.0594406,1.160853,2.8703015,0,0,0,0,0,0.40613067,0.60812163,2016-09-23
0,0.3111012,0,0,2.6197088,2.0537713,1.1603879,2.8587008,0,0,0,0,0,0.4150002,0.6128599,2016-09-26
0,0.31350493,0,0,2.6243262,2.0524898,1.1623683,2.8530471,0,0,0,0,0,0.42555758,0.6168419,2016-09-27
0,0.31087434,0,0,2.6150699,2.0473979,1.1667411,2.8444793,0,0,0,0,0,0.43030888,0.61374456,2016-09-28
0,0.30963716,0,0,2.61187,2.0429277,1.1680635,2.8387356,0,0,0,0,0,0.4349711,0.6108899,2016-09-29
0,0.30525336,0,0,2.6039343,2.0397701,1.1746521,2.8359482,0,0,0,0,0,0.43754965,0.6042359,2016-09-30
0,0.3033216,0,0,2.6018238,2.0375073,1.1768891,2.8347476,0,0,0,0,0,0.4399831,0.59981215,2016-10-04
0,0.2981108,0,0,2.60041,2.0290222,1.1798818,2.8309815,0,0,0,0,0,0.4418878,0.5933874,2016-10-05
0,0.29435003,0,0,2.6004832,2.0126338,1.1784241,2.823034,0,0,0,0,0,0.44358242,0.5872436,2016-10-06
0,0.2917406,0,0,2.6067467,1.9934702,1.1798052,2.8147128,0,0,0,0,0,0.4533727,0.5829308,2016-10-07
0,0.28691393,0,0,2.5985343,1.9729192,1.1813208,2.8049316,0,0,0,0,0,0.45263454,0.57474023,2016-10-10
0,0.28441942,0,0,2.5939069,1.9526281,1.1844882,2.796224,0,0,0,0,0,0.4560673,0.5698152,2016-10-11
0,0.28182095,0,0,2.594029,1.9342017,1.1853371,2.7899373,0,0,0,0,0,0.45847622,0.5640373,2016-10-12
0,0.2756863,0,0,2.5831532,1.9142464,1.1834024,2.7812085,0,0,0,0,0,0.45368716,0.55307853,2016-10-13
0,0.2712623,0,0,2.566608,1.892439,1.1756192,2.7688425,0,0,0,0,0,0.4427659,0.5428547,2016-10-14
0,0.26367664,0,0,2.5364413,1.8700318,1.1693717,2.7543733,0,0,0,0,0,0.42400274,0.52999514,2016-10-17
0,0.255361,0,0,2.502059,1.8487828,1.1655481,2.7396343,0,0,0,0,0,0.4038214,0.51802474,2016-10-18
0,0.24207874,0,0,2.460197,1.8280891,1.1656638,2.725241,0,0,0,0,0,0.380065,0.50234205,2016-10-19
0,0.22877166,0,0,2.419538,1.8089228,1.1676607,2.7128897,0,0,0,0,0,0.35882452,0.48971212,2016-10-20
0,0.21488672,0,0,2.3687508,1.786174,1.1727272,2.6946187,0,0,0,0,0,0.33651704,0.47770488,2016-10-21
0,0.20110732,0,0,2.3204708,1.7652771,1.1786232,2.676599,0,0,0,0,0,0.31672317,0.46811277,2016-10-24
0,0.18644938,0,0,2.2720058,1.7441957,1.1815894,2.6574092,0,0,0,0,0,0.29473317,0.4566229,2016-10-25
0,0.17008641,0,0,2.222337,1.7241732,1.1809717,2.6380017,0,0,0,0,0,0.26831114,0.44265145,2016-10-26
0,0.15543465,0,0,2.1783226,1.707095,1.1720507,2.6225507,0,0,0,0,0,0.23888978,0.4303925,2016-10-27
0,0.14091772,0,0,2.1317537,1.689161,1.1661711,2.605216,0,0,0,0,0,0.21285433,0.4188344,2016-10-28
0,0.12618448,0,0,2.0929213,1.6763242,1.1703364,2.5910857,0,0,0,0,0,0.19519979,0.40488338,2016-10-31
